size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
28437,246,823,84,39805,223784,444,407,1233,124,37,0,1516,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28513,246,824,84,39901,223796,1669,1328,1285,192,341,0,2421,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28514,246,824,84,39901,223796,215.9770050048828,205.977005,1285,0,10,0,1490.9770508,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28508,246,824,84,39859,223808,217,118,1242,63,99,0,1297,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28509,246,824,84,39859,223808,140.85400390625,110.85399628,1242,30,30,0,1322.8540039,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25490,246,823,84,39902,223820,90,90,300,0,0,0,390,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28449,246,823,84,39902,223820,386,172,1691,241,214,0,1622,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25504,246,825,84,39806,223832,300,300,200,0,0,0,500,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28520,246,826,84,39884,223844,1372,1189,711,300,183,0,1600,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28521,246,826,84,39884,223844,350,350,711,0,0,0,1061,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25524,246,825,84,39861,223856,300,300,200,0,0,0,500,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28454,246,822,84,39865,223868,1766,1588,729,342,178,0,1975,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28455,246,822,84,39865,223868,300,179,963,67,121,0,1075,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25484,246,823,84,39874,223880,150,150,100,0,0,0,250,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25489,246,823,84,39900,223892,300,300,200,0,0,0,500,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28426,246,821,84,39876,223904,214,214,100,0,0,0,314,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28427,246,821,84,39876,223904,288.9570007324219,288.95700073,100,0,0,0,388.95700073,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28518,246,826,84,39877,223916,881,727,2450,2114,154,0,1063,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28519,246,826,84,39877,223916,300,150,200,50,150,0,300,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25529,246,825,84,39875,223928,150,150,100,0,0,0,250,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25485,246,823,84,39878,223940,300,300,200,0,0,0,500,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25454,246,822,84,39811,223952,300,300,200,0,0,0,500,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28430,246,821,84,39891,223964,216,135,964,436,81,0,663,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28431,246,821,84,39891,223964,231.63099670410156,206.6309967,150,125,25,0,231.6309967,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25550,246,827,84,39862,223976,30,30,100,0,0,0,130,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
